ANO_ATEND,ANO_CMPT,CID,CNES,MES_ATEND,MES_CMPT,ORIGEM,PERIODO_ATEND,PERIODO_CMPT,QTD,SIGITAP,TIPO,UF
2017,2017,0,2024756,3,3,PA_APAC,2017/03-A,2017/03-C,2,306020106,PROC,SP
2017,2017,Z513,2081458,3,3,PA_APAC,2017/03-A,2017/03-C,4,306020106,PROC,SP
2017,2017,0,2074273,3,3,PA_APAC,2017/03-A,2017/03-C,1,306020106,PROC,SP
2017,2017,0,9628,3,3,PA_APAC,2017/03-A,2017/03-C,1,306020106,PROC,SP
2017,2017,0,2083604,3,3,PA_APAC,2017/03-A,2017/03-C,2,306020106,PROC,SP
2017,2017,0,2077450,2,3,PA_APAC,2017/02-A,2017/03-C,1,306020106,PROC,SP
2017,2017,0,2082861,3,3,PA_APAC,2017/03-A,2017/03-C,4,306020106,PROC,SP
2017,2017,R53,7872593,3,3,PA_APAC,2017/03-A,2017/03-C,1,306020106,PROC,SP
2017,2017,0,2080346,3,3,PA_APAC,2017/03-A,2017/03-C,8,306020106,PROC,SP
2017,2017,D649,2716097,3,3,PA_APAC,2017/03-A,2017/03-C,2,306020106,PROC,SP
2017,2017,0,2076926,3,3,PA_APAC,2017/03-A,2017/03-C,1,306020106,PROC,SP
2017,2017,R100,2079798,3,3,PA_APAC,2017/03-A,2017/03-C,8,306020106,PROC,SP
2017,2017,Z018,2088576,3,3,PA_APAC,2017/03-A,2017/03-C,2,306020106,PROC,SP
2017,2017,K610,2079798,3,3,PA_APAC,2017/03-A,2017/03-C,4,306020106,PROC,SP
2017,2017,P549,2079798,3,3,PA_APAC,2017/03-A,2017/03-C,1,306020106,PROC,SP
2017,2017,Q210,2079798,3,3,PA_APAC,2017/03-A,2017/03-C,1,306020084,PROC,SP
2017,2017,T07,2079798,3,3,PA_APAC,2017/03-A,2017/03-C,12,306020106,PROC,SP
2017,2017,0,2070596,3,3,PA_APAC,2017/03-A,2017/03-C,5,306020106,PROC,SP
2017,2017,R17,2079798,3,3,PA_APAC,2017/03-A,2017/03-C,2,306020106,PROC,SP
2017,2017,E831,2078015,3,3,PA_APAC,2017/03-A,2017/03-C,4,306020106,PROC,SP
2017,2017,J90,2079798,3,3,PA_APAC,2017/03-A,2017/03-C,5,306020106,PROC,SP
2017,2017,S899,2079798,3,3,PA_APAC,2017/03-A,2017/03-C,16,306020106,PROC,SP
2017,2017,0,2093537,3,3,PA_APAC,2017/03-A,2017/03-C,4,306020106,PROC,SP
2017,2017,K921,2082527,3,3,PA_APAC,2017/03-A,2017/03-C,4,306020106,PROC,SP
2017,2017,D759,2088576,3,3,PA_APAC,2017/03-A,2017/03-C,3,306020106,PROC,SP
